Title;ROC-area;ROC-error;Title;ROC-area;ROC-error;nTrs;nVs;time_trs;time_vs;C;nSv;nSv+;nSv-
70;0,71216684466937;0,00480410237612507;70;0,535069270833333;0,0129177773067341;10000;2000;2050,8492;470,7599;C:100;Kernel:1;nsv:7448;nsv+:1490;nsv-:5958
71;0,717028313276473;0,00489820020466712;71;0,599432291666667;0,0126457285854261;10000;2000;2118,7124;472,0453;C:100;Kernel:1;nsv:7425;nsv+:1486;nsv-:5939
72;0,724902147113139;0,00475929870355001;72;0,524309895833333;0,0129144568083983;10000;2000;2280,8717;438,7833;C:100;Kernel:1;nsv:7335;nsv+:1467;nsv-:5868
73;0,714095379236419;0,0047021099908841;73;0,51700625;0,0128926249436884;10000;2000;2126,1664;501,9513;C:100;Kernel:1;nsv:7474;nsv+:1495;nsv-:5979
74;0,709256752188739;0,00471166197236972;74;0,532089583333334;0,0128590491705783;10000;2000;2444,5915;455,5115;C:100;Kernel:1;nsv:7504;nsv+:1500;nsv-:6004
75;0,7317044118702;0,00493458252243698;75;0,5604546875;0,0128106750988275;10000;2000;1995,5199;624,0091;C:100;Kernel:1;nsv:7429;nsv+:1489;nsv-:5940
76;0,711964337992388;0,00468887811531824;76;0,497594791666667;0,012958305317957;10000;2000;2155,2164;493,6737;C:100;Kernel:1;nsv:7420;nsv+:1477;nsv-:5943
77;0,711574714555194;0,00492833735879547;77;0,4882046875;0,0129793399591455;10000;2000;2395,3426;447,9718;C:100;Kernel:1;nsv:7359;nsv+:1471;nsv-:5888
78;0,720973245494085;0,00498456738890852;78;0,4795984375;0,013006262841421;10000;2000;2023,7537;689,2191;C:100;Kernel:1;nsv:7289;nsv+:1458;nsv-:5831
79;0,714186932855079;0,00493779601101502;79;0,529090104166666;0,0129289540578182;10000;2000;1934,8898;474,8624;C:100;Kernel:1;nsv:7438;nsv+:1488;nsv-:5950
80;0,716390355095598;0,00470824003138934;80;0,552782291666666;0,0128915965178054;10000;2000;1955,3001;685,4196;C:100;Kernel:1;nsv:7492;nsv+:1500;nsv-:5992
81;0,713107357108526;0,00483526125982908;81;0,540653125;0,0128780415649493;10000;2000;2068,4413;585,7226;C:100;Kernel:1;nsv:7466;nsv+:1494;nsv-:5972
82;0,70231463872887;0,0049537139033927;82;0,4952171875;0,0129504074320659;10000;2000;2034,538;433,3519;C:100;Kernel:1;nsv:7399;nsv+:1480;nsv-:5919
83;0,701325542122321;0,00488720584040363;83;0,491519791666667;0,0129641580640219;10000;2000;2531,0588;489,4461;C:100;Kernel:1;nsv:7439;nsv+:1488;nsv-:5951
84;0,717185799166264;0,00497651552967184;84;0,5183609375;0,0129204540942814;10000;2000;2229,8213;457,4012;C:100;Kernel:1;nsv:7270;nsv+:1454;nsv-:5816
85;0,698767857189024;0,00497830560279134;85;0,488630208333334;0,0129646431006174;10000;2000;2255,1499;388,1833;C:100;Kernel:1;nsv:7398;nsv+:1479;nsv-:5919
86;0,715072941714572;0,00499514611990547;86;0,4757203125;0,0130058730510074;10000;2000;1987,3753;411,3032;C:100;Kernel:1;nsv:7253;nsv+:1450;nsv-:5803
87;0,731173738482127;0,00489046217841337;87;0,467919791666667;0,0130269316241138;10000;2000;1897,6686;455,1569;C:100;Kernel:1;nsv:7169;nsv+:1434;nsv-:5735
88;0,710409060846797;0,00496221098514322;88;0,5395703125;0,0129090306672082;10000;2000;2395,0695;444,3784;C:100;Kernel:1;nsv:7489;nsv+:1501;nsv-:5988
89;0,652385968514455;0,00586335794021102;89;0,593591666666667;0,0129449194000663;10000;2000;2238,1445;401,9648;C:100;Kernel:1;nsv:6819;nsv+:1363;nsv-:5456
